Date,Dividends
2014-01-03,0.480000
2013-06-12,0.480000
2012-12-12,0.480000
2012-06-13,0.470000
2011-12-13,0.470000
2011-06-13,0.470000
2010-12-13,0.460000
2010-06-11,0.460000
2009-12-23,0.450000
2009-06-11,0.450000
2008-12-11,0.450000
2008-06-12,0.440000
2007-12-12,0.440000
2007-06-13,0.430000
2006-12-13,0.430000
2006-06-14,0.420000
2005-11-30,0.420000
2005-06-15,0.400000
2004-12-01,0.400000
2004-06-14,0.390000
2003-12-03,0.360000
2003-06-09,0.340000
2002-12-04,0.310000
2002-06-10,0.310000
2001-12-05,0.290000
2001-06-08,0.280000
2000-12-06,0.280000
2000-06-09,0.260000
1999-12-07,0.250000
1999-06-11,0.440000
1998-12-04,0.440000
1998-06-12,0.400000
1997-12-04,0.410000
1997-06-13,0.350000
1996-12-13,0.350000
1996-06-14,0.000000
1995-12-13,0.280000
1995-06-16,0.000000
1994-12-14,0.280000
1994-06-15,0.270000
1993-12-15,0.270000
1993-06-09,0.500000
1993-03-09,0.000000
1992-12-09,0.500000
1992-06-11,0.400000
