Date,Dividends
2013-12-13,0.290000
2013-09-12,0.290000
2013-06-12,0.290000
2013-03-20,0.290000
2012-12-13,0.290000
2012-09-12,0.290000
2012-06-13,0.270000
2012-03-19,0.270000
2011-12-14,0.250000
2011-09-14,0.250000
2011-06-14,0.250000
2011-03-17,0.240000
2010-12-08,0.240000
2010-09-08,0.220000
2010-06-08,0.200000
2010-03-22,0.150000
2009-12-08,0.150000
2009-09-08,0.150000
2009-06-08,0.150000
2009-03-13,0.150000
2008-12-08,0.200000
2008-09-08,0.200000
2008-06-12,0.300000
2008-05-21,0.150000
2008-03-18,0.360000
2007-12-06,0.360000
2007-09-05,0.360000
2007-06-06,0.360000
2007-03-07,0.360000
2006-12-27,0.120000
2006-12-06,0.340000
2006-09-06,0.320000
2006-06-07,0.300000
2006-03-08,0.300000
2005-12-28,0.120000
2005-12-07,0.300000
2005-09-07,0.250000
2005-06-08,0.200000
2005-03-08,0.140000
2004-12-29,0.110000
2004-12-27,0.110000
2004-09-08,0.110000
2004-06-08,0.110000
2004-03-11,0.100000
