Date,Dividends
2014-02-12,0.040000
2013-11-14,0.030000
2013-08-07,0.030000
2013-05-08,0.030000
2013-02-04,0.030000
2010-02-10,0.010000
2009-11-12,0.030000
2009-08-12,0.060000
2009-05-13,0.110000
2009-02-10,0.110000
2008-11-10,0.110000
2008-08-06,0.110000
2008-05-06,0.110000
2008-02-06,0.110000
2007-11-08,0.100000
2007-08-07,0.100000
2007-05-03,0.090000
2007-02-07,0.090000
2006-11-09,0.090000
2006-08-07,0.090000
2006-05-05,0.080000
2006-02-07,0.080000
2005-11-07,0.080000
2005-08-05,0.080000
2005-05-06,0.075000
2005-02-04,0.075000
2004-11-05,0.075000
2004-08-06,0.075000
2004-05-06,0.070000
2004-02-06,0.070000
2003-11-06,0.070000
2003-07-31,0.070000
2003-04-30,0.060000
2003-02-05,0.060000
2002-11-01,0.060000
2002-08-02,0.060000
2002-05-01,0.055000
2002-01-30,0.055000
2001-11-02,0.055000
2001-08-01,0.055000
2001-05-02,0.050000
2001-01-31,0.050000
2000-11-01,0.050000
2000-08-02,0.050000
2000-05-03,0.045000
2000-02-11,0.040000
1999-11-03,0.040000
1999-08-04,0.040000
1999-05-05,0.035000
1999-02-03,0.030000
1998-11-06,0.030000
