Date,Dividends
2014-02-12,0.140000
2013-11-13,0.140000
2013-08-14,0.140000
2013-05-15,0.130000
2013-02-13,0.130000
2012-11-14,0.120000
2012-08-15,0.100000
2012-05-16,0.080000
2012-02-15,0.070000
2011-11-16,0.070000
2011-08-17,0.070000
2011-05-17,0.070000
2011-02-14,0.070000
2010-11-16,0.070000
2010-08-17,0.060000
2010-05-17,0.060000
2010-02-11,0.060000
2009-11-16,0.060000
2009-08-17,0.060000
2009-05-15,0.060000
2009-02-11,0.120000
2008-11-14,0.185000
2008-08-14,0.185000
2008-05-15,0.185000
2008-02-13,0.185000
2007-11-14,0.185000
2007-08-15,0.185000
2007-05-16,0.180000
2007-02-14,0.175000
2006-11-15,0.170000
2006-08-16,0.160000
2006-05-17,0.153330
2006-02-14,0.146670
2005-10-18,0.266670
2005-04-18,0.246670
2004-10-18,0.233330
2004-04-15,0.220000
2003-10-16,0.206670
2003-04-11,0.193330
2002-10-10,0.180000
2002-04-11,0.166670
2001-11-14,0.160000
2001-05-15,0.146670
2000-11-16,0.133330
1999-11-17,0.133330
1999-05-18,0.066670
1998-11-18,0.063330
1998-05-19,0.063330
1997-11-19,0.063330
1997-05-16,0.060000
1996-11-19,0.056670
1996-06-03,0.050000
1995-12-01,0.046670
