Date,Dividends
2014-03-12,0.320000
2013-12-11,0.320000
2013-09-11,0.310000
2013-06-12,0.310000
2013-03-06,0.310000
2012-12-12,0.310000
2012-09-12,0.310000
2012-06-06,0.310000
2012-03-07,0.310000
2011-12-07,0.310000
2011-09-07,0.300000
2011-06-08,0.300000
2011-03-09,0.300000
2010-12-08,0.300000
2010-09-08,0.300000
2010-06-09,0.300000
2010-03-10,0.300000
2009-12-09,0.300000
2009-09-09,0.290000
2009-06-10,0.290000
2009-03-11,0.290000
2008-12-10,0.290000
2008-09-10,0.290000
2008-06-11,0.290000
2008-03-12,0.290000
2007-12-12,0.290000
2007-09-12,0.280000
2007-06-06,0.280000
2007-03-07,0.280000
2006-12-06,0.280000
2006-09-06,0.270000
2006-06-07,0.270000
2006-03-08,0.270000
2005-12-07,0.270000
2005-09-07,0.260000
2005-06-08,0.260000
2005-03-09,0.260000
2004-12-08,0.260000
2004-09-08,0.260000
2004-06-09,0.250000
2004-03-10,0.250000
2003-12-10,0.250000
2003-09-10,0.250000
2003-06-11,0.250000
2003-03-12,0.250000
2002-12-11,0.250000
2002-09-11,0.240000
2002-06-12,0.230000
2002-03-06,0.230000
2001-12-12,0.230000
2001-06-06,0.230000
2001-03-07,0.220000
2000-12-06,0.210000
2000-09-06,0.210000
2000-06-07,0.210000
2000-03-08,0.210000
1999-12-08,0.210000
1999-09-08,0.210000
1999-06-09,0.200000
1999-03-10,0.200000
1998-12-09,0.200000
1998-09-09,0.190000
1998-06-10,0.180000
1998-03-11,0.175000
1997-12-10,0.175000
1997-09-10,0.170000
1997-06-11,0.165000
1997-03-12,0.165000
1996-12-11,0.160000
1996-09-11,0.155000
1996-06-12,0.155000
1996-03-06,0.150000
1995-12-06,0.150000
1995-09-06,0.145000
1995-06-06,0.145000
1995-03-06,0.145000
1994-12-05,0.135000
1994-09-02,0.135000
1994-06-06,0.130000
1994-03-07,0.115000
1993-12-06,0.115000
1993-09-03,0.115000
1993-03-08,0.115000
1992-12-07,0.105000
1992-09-04,0.105000
1992-06-08,0.105000
1992-03-09,0.105000
1991-12-09,0.105000
1991-09-09,0.095000
1991-06-10,0.095000
1991-03-04,0.095000
1990-12-10,0.095000
1990-09-10,0.095000
1990-06-04,0.095000
