Date,Dividends
2013-12-04,0.500000
2013-05-28,0.470000
2012-12-12,0.940000
2012-05-31,0.420000
2011-12-14,0.440000
2011-05-25,0.360000
2010-12-13,0.330000
2010-05-25,0.300000
2009-12-16,0.320000
2009-05-28,0.280000
2008-12-11,0.280000
2008-05-29,0.270000
2007-12-13,0.280000
2007-05-30,0.270000
2006-12-22,0.220000
2006-05-31,0.250000
2005-12-13,0.220000
2005-05-27,0.250000
2004-12-13,0.180000
2004-09-22,0.250000
2003-12-11,0.150000
2002-12-18,0.100000
2001-12-21,0.100000
2000-12-14,0.100000
1999-12-13,0.080000
1999-12-08,0.018000
1998-12-08,0.018000
1997-12-10,0.060000
