Date,Dividends
2014-03-03,0.081000
2014-02-03,0.079000
2013-12-24,0.263000
2013-11-29,0.074000
2013-10-31,0.071000
2013-09-30,0.066000
2013-08-30,0.069000
2013-07-31,0.068000
2013-06-28,0.072000
2013-05-31,0.066000
2013-04-30,0.069000
2013-03-28,0.064000
2013-02-28,0.070000
2013-01-31,0.071000
2012-12-24,0.759000
2012-11-30,0.077000
2012-11-02,0.077000
2012-09-28,0.079000
2012-08-31,0.084000
2012-07-31,0.080000
2012-06-29,0.084000
2012-05-31,0.087000
2012-04-30,0.090000
2012-03-30,0.083000
2012-02-29,0.090000
2012-01-31,0.093000
2011-12-23,0.226000
2011-11-30,0.101000
2011-10-31,0.099000
2011-09-30,0.101000
2011-08-31,0.106000
2011-07-29,0.108000
2011-06-30,0.107000
2011-05-31,0.109000
2011-04-29,0.109000
2011-03-31,0.113000
2011-02-28,0.101000
2011-01-31,0.110000
2010-12-27,0.728000
2010-11-30,0.110000
2010-10-29,0.111000
2010-09-30,0.108000
2010-08-31,0.110000
2010-07-30,0.117000
2010-06-30,0.106000
2010-05-28,0.122000
2010-04-30,0.105000
2010-02-26,0.089000
2010-01-29,0.077000
