Date,Dividends
2013-09-26,0.260000
2013-06-27,0.250000
2013-03-27,0.250000
2012-12-28,0.240000
2012-09-27,0.240000
2012-06-28,0.230000
2012-03-28,0.230000
2011-12-29,0.220000
2011-09-28,0.220000
2011-06-28,0.220000
2011-03-29,0.220000
2010-12-31,0.210000
2010-09-28,0.210000
2010-06-28,0.210000
2010-03-29,0.210000
2009-12-31,0.210000
2009-09-28,0.210000
2009-06-26,0.210000
2009-03-27,0.210000
2008-12-31,0.210000
2008-09-26,0.210000
2008-06-26,0.210000
2008-03-27,0.200000
2007-12-31,0.200000
2007-12-21,0.200000
2007-09-27,0.200000
2007-06-28,0.200000
2007-03-28,0.200000
2006-12-29,0.190000
2006-09-28,0.190000
2006-06-28,0.190000
2006-03-29,0.190000
2005-12-29,0.180000
2005-09-28,0.180000
2005-06-28,0.180000
2005-03-29,0.180000
2004-12-31,0.170000
2004-09-29,0.170000
2004-06-30,0.170000
2004-03-31,0.170000
2003-12-31,0.160000
2003-09-30,0.160000
2003-06-30,0.150000
2003-03-31,0.150000
2003-01-02,0.140000
2002-10-01,0.140000
2002-07-02,0.140000
2002-04-02,0.140000
2002-01-03,0.130000
2001-10-02,0.130000
2001-07-03,0.130000
2001-03-27,0.130000
2001-01-04,0.120000
2000-10-05,0.120000
2000-07-05,0.120000
2000-03-30,0.120000
1999-12-31,0.110000
1999-09-29,0.110000
1999-06-29,0.110000
1999-03-30,0.110000
1998-12-31,0.100000
1998-09-30,0.100000
1998-06-30,0.100000
1998-03-31,0.100000
1997-12-31,0.093330
1997-09-30,0.088890
1997-07-01,0.084450
1997-04-01,0.084450
1996-12-31,0.080000
1996-09-27,0.077030
1996-06-27,0.077030
1996-03-28,0.077030
1995-12-28,0.071110
1995-09-28,0.071110
