Date,Dividends
2014-02-27,0.050000
2013-11-27,0.050000
2013-08-29,0.050000
2013-05-30,0.040000
2013-02-27,0.040000
2012-11-29,0.040000
2012-08-30,0.020000
2012-05-30,0.020000
2012-02-28,0.020000
2011-11-29,0.020000
2011-08-30,0.020000
2011-05-27,0.020000
2011-02-25,0.020000
2010-11-29,0.020000
2010-08-30,0.015000
2010-05-27,0.015000
2010-02-25,0.015000
2009-11-27,0.015000
2009-08-28,0.015000
2009-05-28,0.015000
2009-03-18,0.015000
2008-11-26,0.015000
2008-09-17,0.080000
2008-05-29,0.080000
2008-02-27,0.080000
2007-11-29,0.080000
2007-08-29,0.080000
2007-05-30,0.080000
2007-02-27,0.080000
2006-11-29,0.080000
2006-08-30,0.080000
2006-05-30,0.080000
2006-02-28,0.080000
2005-11-30,0.080000
2005-08-30,0.080000
2005-06-01,0.065000
2005-03-01,0.065000
2004-12-01,0.065000
2004-09-01,0.065000
2004-06-01,0.065000
2004-03-02,0.065000
2003-11-28,0.065000
2003-09-11,0.065000
2003-09-05,21.500000
