Date,Dividends
2014-01-15,0.120000
2013-09-25,0.100000
2013-07-02,0.100000
2013-04-10,0.100000
2013-01-16,0.100000
2012-12-06,1.000000
2012-09-26,0.070000
2012-06-27,0.070000
2012-04-03,0.070000
2012-01-11,0.070000
2011-09-15,0.050000
2011-06-22,0.050000
2011-04-08,0.050000
2011-01-06,0.050000
2008-07-09,0.100000
2008-04-09,0.100000
2008-01-09,0.100000
2007-10-10,0.090000
2007-07-11,0.090000
2007-04-11,0.090000
2007-01-10,0.090000
2006-10-11,0.075000
2006-07-12,0.075000
2006-04-11,0.075000
2006-01-11,1.075000
2005-10-12,0.062500
2005-07-13,0.062500
2005-04-13,0.062500
2005-01-05,0.047500
2004-10-06,0.037500
2004-07-07,0.037500
2004-04-06,0.037500
2004-01-02,0.037500
