Date,Dividends
2013-10-09,0.823000
2013-06-05,1.480000
2012-10-10,0.695000
2012-06-06,1.359000
2011-10-12,0.609000
2011-06-01,0.950000
2010-10-06,0.461000
2010-03-17,0.778000
2009-10-07,0.425000
2009-06-03,0.722000
2008-10-08,0.481000
2008-06-04,0.907000
2007-10-10,0.430000
2007-06-06,0.757000
2006-10-11,0.340000
2006-05-31,0.556000
2005-10-12,0.268000
2005-06-01,0.505000
2004-10-13,0.226000
2004-06-02,0.105000
2003-10-15,0.163000
2003-06-04,0.327000
2002-09-11,0.147000
2002-06-05,0.242000
2001-06-06,0.204000
2000-09-18,0.094000
2000-06-07,0.183000
1999-10-20,0.092500
1999-06-09,0.052500
1998-10-22,0.045000
1998-06-17,0.045000
1997-10-29,0.040000
1997-06-11,0.036000
1996-10-25,0.029000
1996-06-14,0.025000
1995-10-27,0.025000
1995-06-14,0.025000
1994-10-21,0.020000
1994-06-10,0.020000
