Date,Dividends
2014-02-12,0.120000
2013-11-06,0.120000
2013-08-07,0.120000
2013-05-08,0.120000
2013-02-06,0.120000
2012-11-07,0.120000
2012-08-08,0.120000
2012-05-09,0.120000
2012-02-08,0.120000
2011-11-02,0.120000
2011-08-10,0.120000
2011-05-11,0.120000
2011-02-09,0.120000
2010-11-03,0.120000
2010-08-04,0.120000
2010-05-05,0.120000
2010-02-10,0.120000
2009-11-04,0.120000
2009-08-05,0.120000
2009-05-06,0.120000
2009-02-11,0.120000
2008-11-05,0.120000
2008-08-06,0.120000
2008-05-07,0.120000
2008-02-13,0.100000
2007-11-07,0.100000
2007-08-08,0.100000
2007-05-09,0.100000
2007-02-14,0.080000
2006-11-08,0.080000
2006-08-02,0.080000
2006-05-10,0.080000
2006-02-15,0.070000
2005-11-02,0.070000
2005-08-03,0.070000
2005-05-11,0.070000
2005-02-09,0.060000
2004-11-01,0.060000
2004-07-29,0.060000
2004-05-05,0.060000
2004-01-30,0.050000
2003-10-31,0.050000
2003-08-01,0.050000
2003-05-02,0.050000
2003-01-31,0.050000
2002-11-01,0.050000
2002-08-02,0.050000
2002-05-03,0.050000
2002-01-31,0.040000
2001-11-01,0.040000
2001-08-02,0.040000
2001-05-03,0.040000
2001-02-01,0.040000
2000-11-02,0.040000
2000-08-03,0.040000
2000-05-02,0.040000
2000-02-01,0.030000
1999-11-05,0.030000
1999-07-30,0.030000
1999-04-29,0.030000
1999-02-03,0.030000
