Date,Dividends
2014-02-12,0.080000
2013-11-14,0.080000
2013-08-16,0.080000
2013-05-16,0.080000
2013-02-13,0.080000
2012-11-15,0.080000
2012-08-17,0.080000
2012-05-16,0.080000
2012-02-14,0.080000
2011-11-15,0.070000
2011-08-16,0.070000
2011-05-16,0.070000
2011-02-14,0.070000
2010-11-15,0.060000
2010-08-16,0.060000
2010-05-14,0.060000
2010-02-11,0.060000
2009-11-13,0.060000
2009-08-14,0.060000
2009-05-14,0.060000
2009-02-11,0.060000
2008-11-13,0.060000
2008-08-13,0.060000
2008-05-14,0.060000
2008-02-13,0.030000
2007-11-15,0.055000
2007-08-16,0.055000
2007-05-16,0.055000
2007-02-13,0.055000
2006-11-15,0.050000
2006-08-16,0.050000
2006-05-16,0.050000
2006-02-13,0.050500
2005-11-15,0.050000
2005-08-16,0.050000
2005-05-16,0.041670
2005-02-11,0.041670
2004-11-15,0.040000
2004-08-16,0.040000
2004-05-17,0.040000
2004-02-17,0.040000
2003-11-13,0.040000
2003-08-13,0.040000
2003-05-15,0.040000
2003-02-12,0.040000
2002-11-14,0.038840
2002-08-16,0.038840
2002-05-16,0.038840
2002-02-13,0.038840
2001-11-15,0.038840
2001-08-17,0.038840
2001-05-16,0.038840
2001-02-13,0.038840
2000-11-15,0.038840
2000-08-16,0.038840
2000-05-11,0.038840
2000-02-10,0.038840
1999-11-10,0.038840
1999-08-12,0.038840
1999-05-13,0.038660
1999-02-03,0.038660
1998-11-10,0.038660
1998-08-12,0.038660
1998-05-06,0.038660
1998-01-29,0.038660
1997-11-12,0.038660
1997-08-13,0.038660
1997-05-07,0.038660
